species,species_number,sample.size,ECV,skull.length,body.mass,tarsus.length,complexity.fuxjager,behavioral.richness.ligon,behavioral.diversity.ligon,acoustic.richness.ligon,acoustic.diversity.ligon,mating.system
Astrapia_mayeri,1,1,3815.72,24.25,147,40.9,10,5.67,3.13,3,1.35,poly
Astrapia_rothschildi,2,1,3261.37,23.23,207,41.8,8,8,4.66,2.5,1.39,poly
Cicinnurus_magnificus,3,1,2727.05,26.94,97,31.5,17,10.67,8.2,6,2.12,poly
Cicinnurus_regius,4,1,1557.87,17.16,53,26.4,14,8.75,6.3,3.33,2.7,poly
Cicinnurus_respublica,5,3,1606.015,18.94,61,27.1,10,12.67,8.75,3,1.41,poly
Lophorina_superba,6,2,2000.515,20.575,87,31.8,13,17,9.45,3,2.22,poly
Paradisaea_apoda,7,2,3819.2,27.277,224,48,17,12,7.65,7,3.24,poly
Paradisaea_minor,8,3,3416.527,25.297,254,45.2,11,7.83,4.74,2.5,1.38,poly
Paradisaea_rubra,9,3,2900.86,25.03,201,41.9,13,13,6.87,8,3.36,poly
Paradisaea_raggiana,10,3,3741.513,25.557,270,42.1,18,13.5,8.53,3,2.42,poly
Parotia_lawesii,11,1,3954.77,24.81,167,49.6,23,10,5.7,2.5,1.49,poly
Pteridophora_alberti,12,1,2260.26,19.98,87,32.2,12,9,6.45,7,5.28,poly
Ptiloris_magnificus,13,1,3637.8,24.82,194,39.1,17,12.33,8.82,3,2.25,poly
Ptiloris_paradiseus,14,1,2966.19,22.73,141,33.3,15,7.5,5.24,2,1.17,poly
Ptiloris_victoriae,15,1,2512.25,20.75,105,32.1,16,6.4,3.77,3,1.62,poly
Seleucidis_melanoleucus,16,2,3268.1,25.52,193,40.3,10,16,11.53,10,2.29,poly
Semioptera_wallacii,17,2,3229.91,22.535,163,41.8,14,8.75,5.59,5.5,2.93,poly
Lycocorax_pyrrhopterus,18,1,5048.42,29.81,302,44.1,0,8.57,5.45,2.62,1.83,mono
Manucodia_ater,19,1,3316.77,25.43,238,40.5,6,8.45,5.26,3.42,2.06,mono
Manucodia_chalybatus,20,3,3457.17,27.81,223,37.8,8,8.56,5.24,4.18,2.28,mono
Manucodia_comrii,21,1,4960.69,32.1,448,50.3,10,8.39,5.28,3,2.21,mono
Phonygammus_keraudrenii,22,3,3350.433,25.983,171,36.1,11,4,1.45,2,1.07,mono