species,Taxon,logBRAIN,logMASS,BRAIN,MASS
Meliphaga_gracilis,Other Passeriformes,-0.426,2.708,0.653116342,14.999247
Meliphaga_lewinii,Other Passeriformes,0.157,3.553,1.169995614,34.91791426
Meliphaga_notata,Other Passeriformes,-0.145,3.263,0.865022293,26.12780309
Melithreptus_albogularis,Other Passeriformes,-0.478,2.565,0.620022197,13.00065837
Melithreptus_brevirostris,Other Passeriformes,-0.335,2.628,0.715338086,13.84605009
Melithreptus_lunatus,Other Passeriformes,-0.431,2.603,0.649858911,13.5041899
Melopyrrha_nigra,Other Passeriformes,-0.171,2.72,0.842821573,15.18032224
Menura_novaehollandiae,Other Passeriformes,2.27,6.468,9.679400814,644.1940496
Microeca_fascinans,Other Passeriformes,-0.602,2.43,0.54771511,11.35888208
Microeca_flavigaster,Other Passeriformes,-0.734,2.303,0.479985204,10.00414993
Microeca_papuana,Other Passeriformes,-0.549,2.506,0.577527049,12.25580865
Mimus_polyglottos,Other Passeriformes,0.336,3.811,1.399339025,45.19561189
Minla_ignotincta,Other Passeriformes,-0.382,2.773,0.682495053,16.0065818
Mionectes_oleagineus,Other Passeriformes,-0.771,2.581,0.462550287,13.2103419
Mitrephanes_phaeocercus,Other Passeriformes,-1.109,2.175,0.329888685,8.802185122
Mniotilta_varia,Other Passeriformes,-0.85,2.015,0.427414932,7.500727381
Molothrus_ater,Other Passeriformes,0.135,3.73,1.144536784,41.67910816
Molothrus_oryzivorus,Other Passeriformes,1.131,5.25,3.098753705,190.5662685
Monachella_muelleriana,Other Passeriformes,-0.288,3.091,0.749761592,21.99906605
Monarcha_guttula,Other Passeriformes,-0.382,2.742,0.682495053,15.51799006
Monarcha_melanopsis,Other Passeriformes,-0.085,3.003,0.918512284,20.14588401
Monarcha_trivirgatus,Other Passeriformes,-0.397,2.536,0.672334026,12.62905359
Muscicapa_striata,Other Passeriformes,-0.713,2.736,0.490171475,15.42516089
Muscisaxicola_alpinus,Other Passeriformes,-0.248,3.125,0.780359943,22.75989509
Myadestes_genibarbis,Other Passeriformes,-0.068,3.346,0.934260474,28.38895043
Myadestes_townsendi,Other Passeriformes,0.005,3.529,1.005012521,34.0898607
Myiagra_alecto,Other Passeriformes,-0.303,3.045,0.738599096,21.0100312
Myiagra_caledonica,Other Passeriformes,-0.523,2.393,0.592739659,10.94628358
Myiagra_cyanoleuca,Other Passeriformes,-0.462,2.695,0.63002234,14.80551875
Myiagra_inquieta,Other Passeriformes,-0.252,2.657,0.777244738,14.2534645
Myiagra_rubecula,Other Passeriformes,-0.616,2.708,0.540100525,14.999247
Myiarchus_cinerascens,Other Passeriformes,-0.266,3.36,0.766439128,28.78919088
Myiarchus_stolidus,Other Passeriformes,-0.392,2.96,0.675704114,19.29797176
Myiarchus_tuberculifer,Other Passeriformes,-0.412,2.931,0.662324276,18.74636749
Myiarchus_tyrannulus,Other Passeriformes,0.065,3.549,1.067159024,34.77852157
Myiarchus_validus,Other Passeriformes,0.179,3.713,1.196020744,40.97655197
Myiobius_barbatus,Other Passeriformes,-0.994,2.438,0.370093353,11.45011759
Myioborus_pictus,Other Passeriformes,-0.929,2.303,0.394948461,10.00414993
Myiodynastes_maculatus,Other Passeriformes,0.182,3.951,1.199614194,51.98732818
Myiopagis_cotta,Other Passeriformes,-0.862,2.438,0.422316604,11.45011759
Myiophobus_fasciatus,Other Passeriformes,-1.05,2.708,0.349937749,14.999247
Myiozetetes_similis,Other Passeriformes,-0.21,3.323,0.810584246,27.74345621
Myrmeciza_exsul,Other Passeriformes,0.024,3.261,1.024290318,26.07559971
Myrmeciza_ferruginea,Other Passeriformes,-0.163,3.258,0.849591188,25.99749013
Myrmotherula_axillaris,Other Passeriformes,-0.912,2.007,0.40171998,7.440960947
Myzomela_obscura,Other Passeriformes,-0.719,2.632,0.487239252,13.90154521
Myzomela_sanguinolenta,Other Passeriformes,-1.064,2.098,0.345072755,8.149853894
Nectarinia_calcostetha,Other Passeriformes,-0.874,2.153,0.41727909,8.610651643
Nectarinia_jugularis,Other Passeriformes,-1.109,2.197,0.329888685,8.997979031
Nectarinia_olivacea,Other Passeriformes,-0.598,2.272,0.549910358,9.698778987
Nectarinia_violacea,Other Passeriformes,-0.843,2.19,0.430417333,8.935213115
Neochmia_phaeton,Other Passeriformes,-0.659,1.974,0.517368444,7.199416636
Neochmia_temporalis,Other Passeriformes,-0.656,2.233,0.51892288,9.327807569
Nesospingus_speculiferus,Other Passeriformes,0.354,3.59,1.424755186,36.23407593
Oenanthe_oenanthe,Other Passeriformes,-0.255,2.955,0.774916498,19.20172272
Onychorhynchus_coronatus,Other Passeriformes,-0.693,2.58,0.500073596,13.19713816
Oreocharis_arfaki,Other Passeriformes,-0.371,2.97,0.690043942,19.4919196
Oreoica_gutturalis,Other Passeriformes,0.545,4.043,1.724608382,56.99707781
Origma_solitaria,Other Passeriformes,-0.163,2.565,0.849591188,13.00065837
Oriolus_flavocinctus,Other Passeriformes,0.742,4.489,2.10013158,89.03236898
Oriolus_sagittatus,Other Passeriformes,0.674,4.579,1.962069925,97.41692855
Orthonyx_temminckii,Other Passeriformes,0.567,4.071,1.7629702,58.61554884
Oryzoborus_angolensis,Other Passeriformes,-0.375,2.472,0.687289279,11.84611541
Pachycephala_olivacea,Other Passeriformes,0.389,3.79,1.475504551,44.25640028
Pachycephala_pectoralis,Other Passeriformes,0.14,3.258,1.150273799,25.99749013
Pachycephala_rufiventris,Other Passeriformes,0.063,3.065,1.065026839,21.43446199
Pachycephala_rufogularis,Other Passeriformes,0.086,3.585,1.089806328,36.05335772
Pachycephala_simplex,Other Passeriformes,-0.186,2.944,0.830273595,18.99166123
Pachycephalopsis_poliosoma,Other Passeriformes,0.028,3.646,1.028395684,38.32107477
Pachyramphus_niger,Other Passeriformes,0.262,3.661,1.299526542,38.90022365
Pachyramphus_polychopterus,Other Passeriformes,-0.271,3.008,0.762616496,20.24686567
Padda_oryzivora,Other Passeriformes,-0.236,3.068,0.789780674,21.49886192
Pardalotus_punctatus,Other Passeriformes,-1.036,2.219,0.354871332,9.198128137
Pardalotus_striatus,Other Passeriformes,-0.63,2.38,0.532591801,10.80490286
Parula_americana,Other Passeriformes,-0.955,1.967,0.384812145,7.149196695
Parus_atricapillus,Other Passeriformes,-0.255,2.434,0.774916498,11.4044086
Parus_gambeli,Other Passeriformes,-0.318,2.436,0.727602788,11.42724024
Parus_hudsonicus,Other Passeriformes,-0.342,2.399,0.710348205,11.01215871
Passer_domesticus,Other Passeriformes,-0.012,3.258,0.988071713,25.99749013
Passer_hispaniolensis,Other Passeriformes,-0.037,3.208,0.963676135,24.72957758
Passerina_cyanea,Other Passeriformes,-0.423,2.574,0.655078633,13.1181924
Peneothello_cyanus,Other Passeriformes,-0.046,3.298,0.955041962,27.05846783
Pericrocotus_ethologus,Other Passeriformes,-0.151,2.773,0.859847699,16.0065818
Perisoreus_canadensis,Corvidae,0.942,4.234,2.565106505,68.99265157
Perissocephalus_tricolor,Other Passeriformes,1.526,5.639,4.599741011,281.1813964
Petrochelidon_fulva,Other Passeriformes,-0.687,2.74,0.503083057,15.4869851
Petroica_goodenovii,Other Passeriformes,-1.015,2.563,0.36240243,12.97468304
Petroica_multicolor,Other Passeriformes,-0.799,2.625,0.449778518,13.80457419
Petroica_phoenicea,Other Passeriformes,-0.722,2.644,0.485779724,14.06936868
Petroica_rodinogaster,Other Passeriformes,-0.713,2.267,0.490171475,9.650406125
Petroica_rosea,Other Passeriformes,-0.693,2.37,0.500073596,10.69739228
Phacellodomus_ruber,Other Passeriformes,0.104,3.67,1.109600455,39.25190586
Phaenicophilus_palmarum,Other Passeriformes,0.112,3.373,1.118512861,29.16589362
Phainopepla_nitens,Other Passeriformes,-0.225,3.299,0.798516219,27.08553983
Pheucticus_ludovicianus,Other Passeriformes,0.223,3.87,1.249820574,47.94238608
Philemon_argenticeps,Other Passeriformes,0.531,4.605,1.700632091,99.98298285
Philemon_buceroides,Other Passeriformes,0.765,4.62,2.148994375,101.4940321
Philemon_citreogularis,Other Passeriformes,0.454,4.13,1.574597997,62.17792293
Philemon_corniculatus,Other Passeriformes,0.681,4.799,1.975852597,121.3889678
Philemon_diemenensis,Other Passeriformes,0.435,4.204,1.544963059,66.95361057
Phleocryptes_melanops,Other Passeriformes,-0.342,2.747,0.710348205,15.59577431
Phoenicurus_phoenicurus,Other Passeriformes,-0.693,2.489,0.500073596,12.04922087
Phrygilus_patagonicus,Other Passeriformes,0.022,3.124,1.022243784,22.73714657
Phylidonyris_niger,Other Passeriformes,-0.223,2.734,0.800114849,15.39434139
Phyllastrephus_terrestris,Other Passeriformes,0.049,3.624,1.050220351,37.48721719
Phylloscopus_bonelli,Other Passeriformes,-1.076,1.998,0.340956628,7.374292755
Phylloscopus_sibilatrix,Other Passeriformes,-1.036,1.969,0.354871332,7.163509396
Phytotoma_rutila,Other Passeriformes,-0.315,3.584,0.729788874,36.01732238
Pica_pica,Corvidae,1.503,5.237,4.495154325,188.1049403
Pinicola_enucleator,Other Passeriformes,0.457,4.185,1.579328884,65.69350092
Pipilo_erythrophthalmus,Other Passeriformes,0.3,3.642,1.349858808,38.16809663
Pipra_erythrocephala,Other Passeriformes,-0.708,2.612,0.49262847,13.62627617
Pipra_fasciicauda,Other Passeriformes,-0.496,2.66,0.608961641,14.2962891
Pipra_mentalis,Other Passeriformes,-0.536,2.72,0.585083914,15.18032224
Pipra_pipra,Other Passeriformes,-0.698,2.479,0.497579468,11.92932912
Piranga_ludoviciana,Other Passeriformes,0.182,3.332,1.199614194,27.9942743
Pitangus_sulphuratus,Other Passeriformes,0.389,4.27,1.475504551,71.52163562
Pithys_albifrons,Other Passeriformes,-0.487,2.982,0.614467033,19.72723168
Pitohui_dichrous,Other Passeriformes,0.629,4.272,1.875733907,71.66482203
Pitohui_ferrugineus,Other Passeriformes,0.854,4.57,2.349024181,96.54410977
Pitta_sordida,Other Passeriformes,0.243,4.052,1.275068624,57.51236683
Pitta_versicolor,Other Passeriformes,0.667,4.631,1.948383394,102.6166294
Platyrinchus_cancrominus,Other Passeriformes,-0.713,2.275,0.490171475,9.727919013
Platyrinchus_mystaceus,Other Passeriformes,-0.911,2.213,0.402121901,9.143104604
Ploceus_cucullatus,Other Passeriformes,0.372,3.74,1.450632981,42.09799016
Poecilodryas_albonotata,Other Passeriformes,0.262,3.638,1.299526542,38.01572918
Poecilodryas_cerviniventris,Other Passeriformes,-0.329,2.833,0.719643017,16.99637354
Poecilodryas_placens,Other Passeriformes,-0.02,3.281,0.980198673,26.60236176
Poecilodryas_superciliosa,Other Passeriformes,-0.083,2.996,0.920351147,20.00535525
Poephila_acuticauda,Other Passeriformes,-0.683,2.491,0.505099419,12.07334343
Poephila_personata,Other Passeriformes,-0.755,2.603,0.470010615,13.5041899
Polioptila_caerulea,Other Passeriformes,-1.347,1.569,0.260019149,4.801843948
Pomatorhinus_ruficollis,Other Passeriformes,0.574,3.738,1.775354285,42.01387832
Pomatostomus_halli,Other Passeriformes,0.47,3.624,1.599994193,37.48721719
Pomatostomus_isidorei,Other Passeriformes,0.777,4.159,2.174937656,64.0074831
Pomatostomus_superciliosus,Other Passeriformes,0.422,3.62,1.525008525,37.33756782
Pooecetes_gramineus,Other Passeriformes,-0.242,3.258,0.785056178,25.99749013
Poospiza_nigrorufa,Other Passeriformes,-0.353,2.855,0.702577193,17.37443721
Prionochilus_plateni,Other Passeriformes,-0.886,2.064,0.412301665,7.877416541
Prionops_plumatus,Other Passeriformes,0.203,3.57,1.225072468,35.51659315
Progne_subis,Other Passeriformes,0.095,3.487,1.099658855,32.68773725
Prunella_modularis,Other Passeriformes,-0.236,3.118,0.789780674,22.60113215
Psaltriparus_minimus,Other Passeriformes,-1.036,1.732,0.354871332,5.651946505
Psarocolius_montezuma,Other Passeriformes,1.771,5.931,5.876727151,376.5308565
Pseudocolopteryx_flaviventris,Other Passeriformes,-1.079,2.001,0.339935291,7.396448851
Pseudoleistes_virescens,Other Passeriformes,0.71,4.254,2.033991259,70.38639559
Pseudotriccus_pelzelni,Other Passeriformes,-0.478,2.303,0.620022197,10.00414993
Psophodes_cristatus,Other Passeriformes,0.336,3.651,1.399339025,38.51315996
Psophodes_olivaceus,Other Passeriformes,0.781,4.139,2.183654829,62.74005002
Ptilonorhynchus_violaceus,Other Passeriformes,1.536,5.3,4.645969177,200.33681
Ptiloprora_guisei,Other Passeriformes,-0.092,3.122,0.91210515,22.69171773
Ptiloris_magnificus,Other Passeriformes,1.03,5.094,2.801065835,163.0407224
Ptiloris_paradiseus,Other Passeriformes,1.021,4.832,2.775969346,125.4616332
Ptiloris_victoriae,Other Passeriformes,0.931,4.523,2.537044954,92.11151845
Pycnoptilus_floccosus,Other Passeriformes,0.168,3.44,1.182936611,31.18695817
Pyriglena_leuconota,Other Passeriformes,-0.064,3.49,0.938005,32.78594771
Pyrrholaemus_brunneus,Other Passeriformes,-0.598,2.442,0.549910358,11.49600979
Querula_purpurata,Other Passeriformes,0.754,4.623,2.125484975,101.7989714
Quiscalus_major,Other Passeriformes,1.22,5.162,3.387187734,174.5131331
Quiscalus_mexicanus,Other Passeriformes,1.119,5.19,3.061790881,179.4685529
Quiscalus_quiscula,Other Passeriformes,0.952,4.702,2.590886254,110.1672868
Ramphocaenus_melanurus,Other Passeriformes,-0.683,2.285,0.505099419,9.825686224
Ramphocelus_flammigerus,Other Passeriformes,0.181,3.425,1.198415179,30.72264485
Ramsayornis_modestus,Other Passeriformes,-0.671,2.42,0.511197125,11.24585931
Regulus_calendula,Other Passeriformes,-1.155,2.015,0.315057537,7.500727381
Regulus_satrapa,Other Passeriformes,-0.994,1.732,0.370093353,5.651946505
Rhinomyias_gularis,Other Passeriformes,0.095,3.395,1.099658855,29.81465347
Rhipidura_atra,Other Passeriformes,-0.562,2.351,0.570067787,10.49606054
Rhipidura_fuliginosa,Other Passeriformes,-0.981,2.134,0.374935975,8.448593687
Rhipidura_rufifrons,Other Passeriformes,-1.032,2.326,0.35629366,10.23691188
Rhipidura_rufiventris,Other Passeriformes,-0.598,2.744,0.549910358,15.5490571
Rhodinocichla_rosea,Other Passeriformes,0.294,3.843,1.341783904,46.66526044
Riparia_riparia,Other Passeriformes,-0.968,2.518,0.379841963,12.40376431
Sakesphorus_luctuosus,Other Passeriformes,0.17,3.434,1.185304851,31.00039666
Salpinctes_obsoletus,Other Passeriformes,-0.382,2.771,0.682495053,15.97460063
Saltator_maximus,Other Passeriformes,0.324,3.842,1.382647307,46.6186185
Sarcops_calvus,Other Passeriformes,1.056,4.888,2.874848566,132.6879326
Saxicola_torquatus,Other Passeriformes,-0.478,2.557,0.620022197,12.89706802
Sayornis_saya,Other Passeriformes,-0.58,3.102,0.559898367,22.24239161
Scenopoeetes_dentirostris,Other Passeriformes,1.253,4.984,3.500829709,146.0574445
Schiffornis_turdina,Other Passeriformes,0.086,3.426,1.089806328,30.75338286
Schistocichla_leucostigma,Other Passeriformes,-0.016,3.144,0.98412732,23.1964674
Sclerurus_mexicanus,Other Passeriformes,-0.231,3.05,0.793739466,21.11534442
Scytalopus_unicolor,Other Passeriformes,-0.105,2.862,0.900324523,17.49648494
Seiurus_aurocapilla,Other Passeriformes,-0.357,3.012,0.699772498,20.32801533
Sericornis_citreogularis,Other Passeriformes,-0.217,2.811,0.804929969,16.62653644
Sericornis_frontalis,Other Passeriformes,-0.217,2.58,0.804929969,13.19713816
Sericornis_magnirostra,Other Passeriformes,-0.51,2.135,0.600495579,8.457046507
Sericornis_perspicillatus,Other Passeriformes,-0.598,2.14,0.549910358,8.499437629
Sericulus_chrysocephalus,Other Passeriformes,1.15,4.566,3.15819291,96.15870466
Serinus_flaviventris,Other Passeriformes,-0.139,2.976,0.870228028,19.60922267
Setophaga_ruticilla,Other Passeriformes,-0.994,2.485,0.370093353,12.00112025
Sialia_mexicana,Other Passeriformes,-0.222,3.334,0.800915364,28.05031888
Sialia_sialis,Other Passeriformes,-0.062,3.384,0.939882887,29.48848948
Sigelus_silens,Other Passeriformes,0.01,3.343,1.010050167,28.3039112
Sitta_canadensis,Other Passeriformes,-0.584,2.349,0.557663246,10.4750894
Sitta_carolinensis,Other Passeriformes,-0.155,2.877,0.856415177,17.76091044
Sitta_pygmaea,Other Passeriformes,-0.558,2.44,0.572352625,11.47304074
Sittasomus_griseicapillus,Other Passeriformes,-0.551,2.639,0.576373149,13.99919741
Smicrornis_brevirostris,Other Passeriformes,-1.238,1.887,0.289963566,6.599540332
Sphecotheres_viridis,Other Passeriformes,0.825,4.886,2.281880765,132.422822
Spindalis_zena,Other Passeriformes,0.259,3.749,1.295633805,42.47858217
Spiza_americana,Other Passeriformes,0.049,3.666,1.050220351,39.09521183
Stachyris_whiteheadi,Other Passeriformes,-0.195,2.948,0.822834658,19.06778001
Strepera_fuliginosa,Other Passeriformes,1.668,5.953,5.301554079,384.9063277
Strepera_graculina,Other Passeriformes,1.665,5.63,5.28567325,278.6621176
Strepera_versicolor,Other Passeriformes,1.792,5.866,6.001443358,352.8348146
Struthidea_cinerea,Other Passeriformes,1.099,4.9,3.00116336,134.2897797
Sturnella_neglecta,Other Passeriformes,0.661,4.639,1.936728094,103.440855
Sturnus_vulgaris,Other Passeriformes,0.655,4.446,1.925142517,85.28512033
Sylvia_atricapilla,Other Passeriformes,-0.466,2.852,0.627507284,17.322392
Sylvia_borin,Other Passeriformes,-0.456,2.87,0.633813837,17.6370182
Synallaxis_brachyura,Other Passeriformes,-0.186,3.03,0.830273595,20.69723259
Syndactyla_guttulata,Other Passeriformes,0.175,3.551,1.191246217,34.84814822
Tachycineta_bicolor,Other Passeriformes,-0.635,2.996,0.529935488,20.00535525
Tachycineta_thalassina,Other Passeriformes,-0.818,2.712,0.441313399,15.05936414
Tachyphonus_delatrii,Other Passeriformes,-0.304,2.824,0.737860866,16.84409247
Taeniopygia_bichenovii,Other Passeriformes,-0.994,1.841,0.370093353,6.302837949
Taeniopygia_guttata,Other Passeriformes,-0.879,1.981,0.415197902,7.249989351
Taraba_major,Other Passeriformes,0.588,4.205,1.800384044,67.02059767
Telophorus_zeylonus,Other Passeriformes,0.655,4.208,1.925142517,67.22196135
Tephrodornis_pondicerianus,Other Passeriformes,-0.122,2.972,0.885148369,19.53094245
Terpsiphone_atrocaudata,Other Passeriformes,-0.433,2.824,0.648560492,16.84409247
Thamnomanes_caesius,Other Passeriformes,-0.477,2.654,0.620642529,14.21076818
Thamnophilus_caerulescens,Other Passeriformes,-0.006,2.995,0.994017964,19.98535989
Thamnophilus_punctatus,Other Passeriformes,-0.046,3.108,0.955041962,22.37624712
Thraupis_episcopus,Other Passeriformes,0.092,3.438,1.096364822,31.12464658
Thryomanes_bewickii,Other Passeriformes,-0.668,2.396,0.512733019,10.97917174
Thryothorus_ludovicianus,Other Passeriformes,-0.139,1.792,0.870228028,6.001443358
Thryothorus_nigricapillus,Other Passeriformes,0.058,3.327,1.059714996,27.85465228
Tiaris_olivaceus,Other Passeriformes,-0.716,2.142,0.488703164,8.516453514
Tityra_cayana,Other Passeriformes,0.588,4.369,1.800384044,78.96462758
Tityra_semifasciata,Other Passeriformes,0.642,4.337,1.900277637,76.47776156
Todirostrum_cinereum,Other Passeriformes,-1.139,1.668,0.320139001,5.301554079
Tolmomyias_sulphurescens,Other Passeriformes,-0.562,2.485,0.570067787,12.00112025
Toxorhamphus_poliopterus,Other Passeriformes,-0.644,2.497,0.525187467,12.14600125
Toxostoma_curvirostre,Other Passeriformes,0.742,4.398,2.10013158,81.28812972
Tregellasia_capito,Other Passeriformes,-0.261,2.651,0.77028092,14.16819976
Tregellasia_leucops,Other Passeriformes,-0.489,2.774,0.613239327,16.02259639
Trichodere_cockerelli,Other Passeriformes,-0.431,2.923,0.649858911,18.59699484
Trichothraupis_melanops,Other Passeriformes,-0.1,3.075,0.904837418,21.64988191
Turdoides_jardineii,Other Passeriformes,0.693,4.357,1.999705661,78.02271483
Turdus_lherminieri,Other Passeriformes,0.777,4.707,2.174937656,110.7195027
Turdus_merula,Other Passeriformes,0.742,4.328,2.10013158,75.79254978
Turdus_migratorius,Other Passeriformes,0.389,4.22,1.475504551,68.03348429
Turdus_philomelos,Other Passeriformes,0.531,3.989,1.700632091,54.00086149
Tyrannus_dominicensis,Other Passeriformes,0,3.834,1,46.24715738
Tyrannus_verticalis,Other Passeriformes,-0.02,3.689,0.980198673,40.00482213
Vermivora_peregrina,Other Passeriformes,-0.904,2.122,0.404946629,8.347816436
Vidua_paradisaea,Other Passeriformes,-0.498,2.931,0.607744935,18.74636749
Vireo_altiloquus,Other Passeriformes,-0.287,2.969,0.750511729,19.47243742
Vireo_magister,Other Passeriformes,-0.334,2.767,0.716053782,15.91082985
Volatinia_jacarina,Other Passeriformes,-0.673,2.526,0.510175752,12.50339241
Willisornis_poecilinotus,Other Passeriformes,-0.46,2.809,0.631283646,16.5933166
Wilsonia_citrina,Other Passeriformes,-0.753,2.347,0.470951577,10.45416015
Xanthocephalus_xanthocephalus,Other Passeriformes,0.518,4.342,1.678666956,76.86110793
Xanthomyza_phrygia,Other Passeriformes,0.03,3.512,1.030454534,33.51523126
Xanthotis_flaviventer,Other Passeriformes,0.051,3.5,1.052322893,33.11545196
Xanthotis_macleayanus,Other Passeriformes,-0.1,3.481,0.904837418,32.49219803
Xenops_minutus,Other Passeriformes,-0.702,2.457,0.495593126,11.66974972
Xiphorhynchus_guttatus,Other Passeriformes,0.362,3.837,1.436198942,46.38610717
Xolmis_pyrope,Other Passeriformes,0.243,3.755,1.275068624,42.73421981
Zonotrichia_albicollis,Other Passeriformes,0.027,3.247,1.027367803,25.71308484
Zonotrichia_leucophrys,Other Passeriformes,-0.013,3.199,0.987084135,24.50800993
Zoothera_heinei,Other Passeriformes,0.588,4.29,1.800384044,72.9664685
Zoothera_lunulata,Other Passeriformes,0.693,4.619,1.999705661,101.3925888
Zoothera_naevia,Other Passeriformes,0.555,4.259,1.741940985,70.73920886
Zosterops_japonicus,Other Passeriformes,-0.615,2.32,0.540640895,10.17567431
Zosterops_lateralis,Other Passeriformes,-0.799,2.356,0.449778518,10.54867226
Astrapia_mayeri,Paradisaeidae,,,3.81572,147
Astrapia_rothschildi,Paradisaeidae,,,3.26137,207
Cicinnurus_magnificus,Paradisaeidae,,,2.72705,97
Cicinnurus_regius,Paradisaeidae,,,1.55787,53
Cicinnurus_respublica,Paradisaeidae,,,1.606015,61
Lophorina_superba,Paradisaeidae,,,2.000515,87
Paradisea_apoda,Paradisaeidae,,,3.8192,224
Paradisea_minor,Paradisaeidae,,,3.416527,254
Paradisea_rubra,Paradisaeidae,,,2.90086,201
Paradisea_raggiana,Paradisaeidae,,,3.741513,272
Parotia_lawesii,Paradisaeidae,,,3.95477,167
Pteridophora_alberti,Paradisaeidae,,,2.26026,87
Ptiloris_magnificus,Paradisaeidae,,,3.6378,194
Ptiloris_paradiseus,Paradisaeidae,,,2.96619,141
Ptiloris_victoriae,Paradisaeidae,,,2.51225,105
Seleucidis_melanoleucus,Paradisaeidae,,,3.2681,193
Semioptera_wallacii,Paradisaeidae,,,3.22991,163
Lycocorax_pyrrhopterus,Paradisaeidae,,,5.04842,302
Manucodia_ater,Paradisaeidae,,,3.31677,238
Manucodia_chalybatus,Paradisaeidae,,,3.45717,223
Manucodia_comrii,Paradisaeidae,,,4.96069,448
Manucodia_jobiensis,Paradisaeidae,,,3.741513,228
Phonygammus_keraudrenii,Paradisaeidae,,,3.350433,171